plot_id,BK_ID,block_id,transect_id,plot_no,plot_noo,plot_date_year,plot_date_month,plot_date_day,plot_start_time_hour,plot_start_time_minute,team_leader,team_leader_qualifier,gps_no,altitude,altitude_unit_name,plot_coordinate_srs,plot_coordinate_x,plot_coordinate_y,photos_photo_n,photos_photo_e,photos_photo_s,photos_photo_w,canopy,land_use,land_use_specify,plot_condition.1.,plot_condition.2.,notes,plot_end_time_hour,plot_end_time_minute,trees_ha,ag_biomass_ha,bg_biomass_ha,total_biomass_ha,ag_carbon_ha,bg_carbon_ha,total_carbon_ha,total_co2_ha
8011,80,MAB-1,1,1,1,2016,3,11,9,20,13,,4,1143,m,EPSG:32636,498054,52009,,,,,3,2,,,,"forest, nm",9,52,360,278.9104168,66.93850003,345.8489168,139.4552084,33.46925001,172.9244584,634.0563475
8012,80,MAB-1,1,2,2,2016,3,11,9,20,13,,5,1143,m,EPSG:32636,498142,51988,,,,,3,2,,,,"forest, nm",9,52,560,538.6044411,129.2650659,667.8695069,269.3022205,64.63253293,333.9347535,1224.427429
8013,80,MAB-1,1,3,3,2016,3,11,10,0,13,,5,1139,m,EPSG:32636,498000,52000,,,,,3,2,,,,"forest, nm",10,40,300,239.0941324,57.38259178,296.4767242,119.5470662,28.69129589,148.2383621,543.5406611
8016,80,MAB-1,1,6,6,2016,3,11,12,29,13,,5,1112,m,EPSG:32636,498557,52013,,,,,3,2,,,,"forest, nm",12,52,60,80.94770071,19.42744817,100.3751489,40.47385036,9.713724086,50.18757444,184.0211063
8017,80,MAB-1,1,7,7,2016,3,11,13,0,13,,5,1103,m,EPSG:32636,498653,52017,,,,,3,2,,,,"forest, nm",13,11,180,54.98631975,13.19671674,68.18303649,27.49315987,6.59835837,34.09151824,125.0022336
8111,81,MAB-10,1,1,10,2016,3,16,9,50,8,,2,1123,m,EPSG:32636,500007,51175,,,,,3,2,,,,"normal,",10,0,340,339.0292697,81.36702473,420.3962944,169.5146348,40.68351236,210.1981472,770.7265398
8112,81,MAB-10,1,2,9,2016,3,16,10,9,18,,6,1085,m,EPSG:32636,499880,51169,,,,,3,2,,,,"normal, non",10,31,240,374.3588346,89.8461203,464.2049549,187.1794173,44.92306015,232.1024774,851.0424173
8113,81,MAB-10,1,3,8,2016,3,16,10,36,8,,2,1158,m,EPSG:32636,499812,51196,,,,,3,2,,,,"normal, nm",10,54,300,233.7744608,56.10587059,289.8803314,116.8872304,28.05293529,144.9401657,531.4472742
8114,81,MAB-10,1,4,7,2016,3,16,10,59,8,,6,1164,m,EPSG:32636,499717,51202,,,,,3,2,,,,"normal, nm",11,20,600,645.884279,155.012227,800.896506,322.9421395,77.50611348,400.448253,1468.310261
8115,81,MAB-10,1,5,6,2016,3,16,11,28,18,,6,1152,m,EPSG:32636,499000,51230,,,,,3,2,,,,"valley, nm",11,54,500,540.3872184,129.6929324,670.0801508,270.1936092,64.8464662,335.0400754,1228.480276
8116,81,MAB-10,1,6,5,2016,8,16,11,58,8,,6,1158,m,EPSG:32636,499000,51000,,,,,3,2,,,,"forest, nm",12,21,420,425.5622138,102.1349313,527.6971452,212.7811069,51.06746566,263.8485726,967.4447662
8117,81,MAB-10,1,7,4,2016,3,16,12,46,8,,6,1116,m,EPSG:32636,499000,51000,,,,,3,2,,,,"forest, nm",12,46,280,314.9651094,75.59162626,390.5567357,157.4825547,37.79581313,195.2783678,716.020682
8118,81,MAB-10,1,8,3,2016,3,16,12,52,8,,6,1145,m,EPSG:32636,499314,51228,,,,,3,2,,,,"normal, nm",13,21,220,111.8362987,26.84071169,138.6770104,55.91814936,13.42035585,69.33850521,254.2411858
8119,81,MAB-10,1,9,1,2016,3,16,1,25,8,,6,1159,m,EPSG:32636,499000,51000,,,,,3,2,,,,"normal, nm",1,40,480,328.1628012,78.7590723,406.9218735,164.0814006,39.37953615,203.4609368,746.0234348
81110,81,MAB-10,1,10,2,2016,3,16,1,9,8,,6,1163,m,EPSG:32636,499229,51235,,,,,3,2,,,,"normal, nm",1,22,260,204.908503,49.17804073,254.0865438,102.4542515,24.58902037,127.0432719,465.8253302
8211,82,MAB-100,1,1,1,2016,3,21,9,46,22,,6,51060,m,EPSG:32636,499055,53007,,,,,3,2,,,,"nill, nm",10,6,300,187.3812269,44.97149446,232.3527214,93.69061346,22.48574723,116.1763607,425.9799892
8212,82,MAB-100,1,2,2,2016,3,21,10,10,22,,6,1059,m,EPSG:32636,499000,52000,,,,,3,2,,,,"nill, nm",10,29,300,326.7137972,78.41131133,405.1251085,163.3568986,39.20565566,202.5625543,742.7293656
8213,82,MAB-100,1,3,3,2016,3,21,10,34,22,,6,1130,m,EPSG:32636,499000,52000,,,,,3,2,,,,"nil, nm",11,2,580,530.1561961,127.2374871,657.3936832,265.078098,63.61874353,328.6968416,1205.221752
8214,82,MAB-100,1,4,4,2016,3,21,11,8,22,,6,1123,m,EPSG:32636,499356,53004,,,,,3,2,,,,"nill, nm",11,30,300,346.1813455,83.08352292,429.2648684,173.0906728,41.54176146,214.6324342,786.9855921
8215,82,MAB-100,1,5,5,2016,3,21,11,35,22,,6,1118,m,EPSG:32636,499453,52998,,,,,3,2,,,,"nill, nm",11,53,300,167.1252865,40.11006877,207.2353553,83.56264327,20.05503438,103.6176776,379.9314847
8216,82,MAB-100,1,6,6,2016,3,21,11,59,22,,6,1117,m,EPSG:32636,499558,53000,,,,,3,2,,,,"nill, nm",12,4,180,138.853517,33.32484409,172.1783611,69.42675852,16.66242204,86.08918056,315.6603287
