Country,th_10,th_15,th_20,th_25,th_30,th_50,th_75,loss_10,loss_15,loss_20,loss_25,loss_30,loss_50,loss_75
Afghanistan,432114.7091,302659.7279,284357.4226,254866.6456,205791.2472,148429.7692,75486.17231,1849,1815,1787,1782,1775,1373,584
Akrotiri and Dhekelia,1216.490544,874.9733938,759.8384176,523.8627157,455.937566,335.8207977,185.406779,35,34,34,33,33,30,21
Albania,838912.4331,776882.3617,753090.2099,706652.1025,648680.1077,534847.789,363824.3228,35834,35433,35139,34636,34234,31117,24460
Algeria,1690457.69,1472053.918,1419825.77,1316668.161,1223620.232,895575.1833,496665.7606,109674,105989,104309,102468,100241,78318,45202
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra,20720.37392,19989.06276,19750.30949,19349.85443,19003.92345,16889.31894,13314.21418,63,63,63,62,62,57,42
Angola,95951382.89,82808320.07,65957912.88,63356653.83,55315324.47,31934712.84,3787967.269,3098710,2931043,2483853,2418362,2169345,1339217,297061
Anguilla,2894.712508,2738.565699,2571.45047,2356.842188,2125.767403,1371.897402,506.9353246,50,49,47,46,45,25,9
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,21229.0338,20626.9963,20238.25035,19810.81654,19323.34434,17271.39734,13990.33986,506,504,501,501,499,477,414
Argentina,43380536.87,42376954.44,41252923.66,40144115.83,39086979.34,23116356.32,10594206.9,5557071,5490362,5443130,5414557,5365943,3517927,1572703
Armenia,384081.6474,365441.0731,357616.9423,346599.4736,336842.0346,294622.3744,224841.1529,2088,2062,2052,2042,2033,1904,1577
Aruba,215.6339376,139.8731783,110.2602484,41.4124983,24.95241083,16.38451678,11.80012968,3,3,3,2,2,2,1
Australia,65957075.2,57579747.22,48248730.48,46665870.33,42309947.78,25737010.48,17788719.98,5048674,4973130,4552655,4453991,3961397,2177534,1680229
Austria,4515679.842,4443049.651,4417529.166,4389130.397,4336043.064,4114724.114,3394268.977,244961,244707,244550,244389,244221,241324,223292
Azerbaijan,1488960.302,1428540.018,1389911.831,1330925.385,1268610.33,1113390.564,819515.0268,7606,7451,7391,7342,7279,6512,4668
Bahamas,357635.9172,339972.979,327746.6856,314078.3524,303575.4214,256960.323,199495.0864,16836,16585,16320,16089,15936,14640,12609
Bahrain,0.069206953,0.069206953,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,2683537.655,2304895.764,2216782.36,2097667.628,1959818.374,1541727.461,696707.3231,115027,111701,110868,110325,106865,99652,67357
Barbados,6068.441528,5759.857735,5589.571121,5432.698235,5229.736145,4618.751619,3592.646234,300,296,292,288,283,253,202
Belarus,9653862.884,9455125.093,9363933.719,9256622.665,9106663.592,8373066.376,5791196.202,607660,606168,605401,604664,603596,587306,483702
Belgium,972706.6072,927598.5212,913584.869,892225.9478,865425.8356,778289.4015,576914.1846,75832,75651,75561,75471,75369,73968,66251
Belize,1776900.647,1768312.207,1761508.417,1754439.157,1748274.973,1710653.316,1643082.136,189763,189627,189501,189400,189258,187746,182669
Benin,8884305.234,4564313.186,834666.5979,605231.0602,168568.2499,9000.24776,841.2478527,458644,269723,78590,63638,34180,6855,795
Bermuda,713.0117949,679.2676505,658.4462435,639.7137907,604.7941316,436.8502926,260.5505242,7,7,7,7,7,6,5
Bhutan,2679172.457,2633400.157,2624343.478,2612860.046,2577234.531,2366473.295,1664055.165,17292,16998,16911,16777,16565,14753,9482
Bolivia,66486470.33,66012920.76,65454398.37,65004988.3,64521463.96,57489600.35,47837880.74,4099468,4091950,4082865,4076540,4067419,3853633,3142419
"Bonaire, Sint Eustatius and Saba",3191.474521,2996.209824,2738.564739,2597.284072,2432.087019,1758.782649,1269.463313,55,54,54,53,52,49,43
Bosnia and Herzegovina,2899800.613,2814443.275,2777230.925,2730524.134,2657977.371,2477204.153,2054725.117,26171,25613,25431,25124,24825,23023,18067
Botswana,2410472.479,562900.095,102704.6584,54069.65981,20328.48326,1277.889159,22.16880429,6107,3812,1239,1014,501,49,3
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,548443421.7,541492405.5,532402419.6,526622625.4,519187505.2,475688329.3,429233680.8,47686038,47401923,47030154,46750546,46369255,42134699,35912089
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,8484.994947,8163.536762,7962.900939,7738.286814,7463.880884,6855.87422,5852.644052,63,63,63,63,63,61,55
Brunei,533981.2113,532320.708,531386.7128,530680.8419,529338.8977,523735.817,507844.3722,24741,24671,24624,24592,24527,24158,22510
Bulgaria,4461216.482,4376912.007,4323225.54,4247843.204,4138948.34,3858690.9,3198279.738,103115,102747,102545,102306,102001,99203,88096
Burkina Faso,3213894.85,314253.8693,3733.775993,1120.902595,132.1084525,5.661285328,0,205959,22579,1255,586,131,6,0
Burundi,2278905.422,1979504.966,921489.9853,836032.5728,537776.2038,140710.331,21996.51305,32880,31853,25660,24693,20640,9814,1240
Cambodia,10198761.85,9651905.467,9444201.769,9161044.021,8810198.041,7482671.665,5842945.779,2041754,2006386,1990663,1967168,1939453,1781693,1416727
Cameroon,41716440.28,39994162.8,35158677.42,34255064.54,31459331,25260677.41,17481726.59,1002252,986763,931697,922416,893557,790378,420897
Canada,469568054.8,448824141.8,437098734.5,431009884.4,418066969.3,324180950.6,216719268.9,37516784,37198988,36846956,36605208,36012931,29283429,22306509
Cape Verde,10823.26577,9409.539081,8009.167205,7867.088794,7355.953906,3744.170664,2432.739308,158,137,110,107,100,87,69
Caspian Sea,194057.8263,182828.6995,170508.6094,162693.2021,141764.4968,92180.14157,40301.72156,571,559,543,501,426,193,93
Cayman Islands,14729.26734,14285.34654,13929.19181,13686.3454,13458.3907,12395.01142,9995.183272,391,387,382,378,372,321,212
Central African Republic,59989297.52,57551160.46,52862072.09,51730588.17,47076844.28,30770591.31,6875513.06,704293,695646,669678,662497,634385,501674,229730
Chad,12841236.74,4827681.167,1200859.573,962424.4528,409749.2184,7270.004353,53.75800211,542045,383210,106996,77720,27734,1139,47
Chile,20639725.54,20339357.7,19949633.99,19588690.97,19287066.43,17815814.52,14205541.36,1678208,1672649,1666940,1663208,1658745,1610615,1517087
China,189014081.1,179441169.2,175547018,170164178.1,162739064.4,131366656.7,61891727.29,8562107,8450270,8386127,8302835,8205212,7448452,4737079
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clipperton Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,84482106.28,83621361.67,82904006.43,82449764.08,81781025.75,78295179.71,72170680.23,3320396,3313592,3305655,3299457,3290324,3210503,2957722
Comoros,158382.5096,156703.8259,144652.9882,140901.3372,134784.166,105958.7226,69013.20557,4983,4972,4809,4718,4569,3383,1519
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,4105281.057,4046803.995,3994046.949,3960009.259,3913049.092,3684714.859,3118550.739,201482,200922,200230,199747,199008,191280,166464
Croatia,2691395.876,2613401.059,2570372.174,2517744.708,2431307.001,2228569.27,1888964.265,58948,57721,57143,56675,56188,52072,46595
Cuba,4401512.9,4277158.911,4188617.316,4115595.437,4014607.344,3617393.566,2878343.538,262374,260974,259516,258476,256843,242158,204573
Curaçao,7535.954051,6911.511168,6320.15683,5844.05592,5260.667768,1939.999628,500.6451456,53,50,48,47,44,23,14
Cyprus,153579.0378,132249.6213,124799.2695,103113.2277,89657.93338,53668.97463,20060.93308,2692,2478,2371,2251,2119,1487,786
Czech Republic,3241714.468,3181651.539,3152385.122,3122733.496,3078239.305,2877792.859,2233332.225,218152,217759,217538,217357,217090,213267,183914
Côte d'Ivoire,30924772.99,27248335.5,18910349.44,17992977.07,14872640.2,6357504.564,511082.7022,2761435,2651598,2342816,2291597,2101386,1374049,163865
Democratic Republic of the Congo,227683906.6,226087782.9,214373401.6,211285429,199224308.2,164361629.7,119049200.8,10815839,10797876,10679092,10647990,10522673,9839791,7497861
Denmark,762417.4794,718498.4367,703291.1649,689182.0765,663203.784,561142.9468,310525.8395,68128,67882,67750,67637,67465,65433,54254
Djibouti,12.50681197,2.185092407,0.075224553,0.075224553,0.075224553,0.075224553,0,0,0,0,0,0,0,0
Dominica,71865.58105,71486.83283,71257.22728,71083.67348,70924.82619,70127.06962,66999.26362,753,752,752,751,751,747,731
Dominican Republic,2863286.159,2771296.428,2696044.279,2642529.688,2576426.321,2236241.474,1774345.357,259756,257888,256304,255006,253273,236449,197300
Ecuador,19807389.05,19574857.14,19378336.45,19234432.52,19065845.08,17951244.47,15877716.81,686030,684530,682818,681573,679837,662065,609153
Egypt,952015.4812,898311.3823,452595.4977,387157.5372,154304.2547,14627.84672,623.7336736,3344,3068,2190,2062,1589,726,131
El Salvador,1127098.846,1092796.335,1052471.122,1024832.647,988823.0838,801728.5831,470780.892,68650,68261,67742,67388,66938,59916,35432
Equatorial Guinea,2667095.22,2664656.385,2659670.878,2658359.465,2654594.902,2633383.986,2447617.276,88917,88835,88585,88512,88233,86465,71028
Eritrea,1421.233321,445.2730787,28.27002259,11.2834853,4.607613199,2.380659676,1.562248688,17,4,3,3,3,2,2
Estonia,2780313.584,2722507.072,2695260.719,2670725.597,2639428.158,2465464.706,1956967.348,322050,321717,321541,321387,321189,318667,296039
Ethiopia,31135077.74,25291732.39,16513114.2,15478476.35,12040336.38,5425719.976,2039861.861,437656,420839,370274,361757,329908,204754,88944
Falkland Islands,3838.595375,3648.136419,2979.892618,2779.391934,2188.357468,1065.761309,136.5996096,0,0,0,0,0,0,0
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,1713017.191,1707001.367,1656992.31,1638130.88,1617794.501,1454215.232,1266130.684,36908,36849,36377,36250,36039,34482,30219
Finland,22796065.3,22256212.89,22134168.3,21939049.56,21627650.23,18308142.22,10425927.84,2716679,2711942,2710027,2708521,2706320,2654597,2272168
France,18354636.91,17831168.3,17581725.81,17254573.45,16783020.19,15270417.04,11568535.32,939581,933654,930159,926774,922946,877231,726209
French Guiana,8170479.07,8168548.894,8166630.465,8164372.024,8162751.469,8153381.702,8131836.192,60987,60955,60925,60888,60858,60596,59831
French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Southern Territories,89.80909289,88.22557462,80.30794038,75.78350451,71.63610312,59.64652825,28.12653793,8,7,7,7,6,6,6
Gabon,25910334.34,25573906.74,25062630.28,24969613.24,24690965.71,24158394.97,23070299.33,350443,349638,346669,345742,342017,327311,276723
Gambia,453840.2328,192781.265,30468.62557,20792.19368,4562.45665,37.16494196,1.34727318,14501,7882,1962,1533,625,17,1
Georgia,3369286.736,3289879.258,3253559.624,3216329.724,3144573.092,2956338.053,2500618.736,9666,9597,9556,9529,9492,9109,7781
Germany,13445852.21,13058890.18,12915618.04,12729806.13,12526554.27,11706933.35,9189487.144,563901,562503,561725,561154,560477,550114,489775
Ghana,18330610.69,13282023.9,8230695.031,7919664.961,6955668.346,4253663.003,207294.3789,1091628,1016434,888413,873525,819923,593490,57867
